LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ISL,TRADEGOODSERV,IMP,AGRWTH,A,1999,3.352342685,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2000,7.802035547,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2001,-9.975671394,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2002,-2.730556646,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2003,10.25543435,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2004,14.62208592,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2005,27.82708082,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2006,9.820007714,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2007,-2.262988363,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2008,-20.31270682,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2009,-20.66940839,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2010,2.31856026,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2011,6.773659613,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2012,4.603710782,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2013,0.105862078,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2014,10.02027747,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2015,13.54189652,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2016,14.6029663,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2017,11.8305899,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2018,-0.907562925,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2019,-9.088322364,
ISL,TRADEGOODSERV,IMP,AGRWTH,A,2020,-20.63537705,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,1995,4.651707971,E
BEL,TRADEGOODSERV,IMP,AGRWTH,A,1996,5.554105542,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,1997,8.202305689,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,1998,5.058144576,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,1999,3.373285238,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2000,13.01550527,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2001,-0.755473782,
